Actif;Creneau;EXTREME_LOW %;LOW %;MEDIUM %;HIGH %;EXTREME_HIGH %;n
US_500;11:00-11:30;4,17;29,17;45,83;16,67;4,17;24
US_500;11:30-12:00;4,17;29,17;45,83;16,67;4,17;24
US_500;12:00-12:30;0,00;33,33;50,00;12,50;4,17;24
US_500;12:30-13:00;0,00;33,33;50,00;12,50;4,17;24
US_500;13:00-13:30;4,17;37,50;41,67;12,50;4,17;24
US_500;13:30-14:00;4,17;37,50;41,67;12,50;4,17;24
US_500;14:00-14:30;0,00;33,33;45,83;16,67;4,17;24
US_500;14:30-15:00;0,00;30,43;47,83;17,39;4,35;23
US_500;15:00-15:30;0,00;39,13;47,83;13,04;0,00;23
US_500;15:30-16:00;0,00;39,13;47,83;13,04;0,00;23
US_500;16:00-16:30;4,35;39,13;43,48;13,04;0,00;23
US_500;16:30-17:00;4,35;39,13;43,48;13,04;0,00;23
US_500;17:00-17:30;0,00;40,91;36,36;22,73;0,00;22
US_500;17:30-18:00;0,00;47,37;36,84;15,79;0,00;19
US_500;18:00-18:30;0,00;50,00;22,22;27,78;0,00;18
US_500;18:30-19:00;0,00;47,06;23,53;29,41;0,00;17
US_500;TOTAL;2,65;32,65;44,08;17,76;2,86;490
US_TECH100;08:00-08:30;13,33;13,33;26,67;40,00;6,67;15
US_TECH100;08:30-09:00;14,29;14,29;23,81;42,86;4,76;21
US_TECH100;09:00-09:30;4,35;26,09;30,43;34,78;4,35;23
US_TECH100;09:30-10:00;4,17;25,00;29,17;37,50;4,17;24
US_TECH100;10:00-10:30;4,17;25,00;33,33;33,33;4,17;24
US_TECH100;10:30-11:00;4,17;25,00;33,33;33,33;4,17;24
US_TECH100;11:00-11:30;4,17;25,00;33,33;33,33;4,17;24
US_TECH100;11:30-12:00;4,17;25,00;33,33;33,33;4,17;24
US_TECH100;12:00-12:30;0,00;25,00;41,67;29,17;4,17;24
US_TECH100;12:30-13:00;0,00;29,17;37,50;29,17;4,17;24
US_TECH100;13:00-13:30;0,00;25,00;45,83;20,83;8,33;24
US_TECH100;13:30-14:00;0,00;25,00;45,83;20,83;8,33;24
US_TECH100;14:00-14:30;0,00;16,67;58,33;16,67;8,33;24
US_TECH100;14:30-15:00;0,00;13,04;60,87;17,39;8,70;23
US_TECH100;15:00-15:30;0,00;13,04;56,52;21,74;8,70;23
US_TECH100;15:30-16:00;0,00;13,04;56,52;21,74;8,70;23
US_TECH100;16:00-16:30;0,00;17,39;47,83;26,09;8,70;23
US_TECH100;16:30-17:00;0,00;17,39;47,83;26,09;8,70;23
US_TECH100;17:00-17:30;0,00;13,64;45,45;36,36;4,55;22
US_TECH100;17:30-18:00;0,00;15,79;47,37;36,84;0,00;19
US_TECH100;18:00-18:30;0,00;22,22;33,33;44,44;0,00;18
US_TECH100;18:30-19:00;0,00;23,53;29,41;47,06;0,00;17
US_TECH100;TOTAL;2,24;20,61;41,22;30,41;5,51;490
