Actif;Creneau;EXTREME_DOWN %;STRONG_DOWN %;SOFT_DOWN %;NEUTRE %;SOFT_UP %;STRONG_UP %;EXTREME_UP %;n
US_TECH100;13:30-14:00;6,67;26,67;10,00;30,00;3,33;20,00;3,33;30
US_TECH100;14:00-14:30;3,33;20,00;20,00;30,00;13,33;10,00;3,33;30
US_TECH100;14:30-15:00;3,33;26,67;20,00;26,67;10,00;13,33;0,00;30
US_TECH100;15:00-15:30;10,00;16,67;23,33;26,67;6,67;16,67;0,00;30
US_TECH100;15:30-16:00;10,00;13,33;20,00;26,67;13,33;16,67;0,00;30
US_TECH100;16:00-16:30;3,33;26,67;13,33;26,67;13,33;13,33;3,33;30
US_TECH100;16:30-17:00;6,67;26,67;6,67;33,33;10,00;13,33;3,33;30
US_TECH100;17:00-17:30;6,67;23,33;16,67;26,67;6,67;16,67;3,33;30
US_TECH100;17:30-18:00;10,71;21,43;25,00;17,86;3,57;17,86;3,57;28
US_TECH100;18:00-18:30;7,14;28,57;21,43;17,86;3,57;17,86;3,57;28
US_TECH100;18:30-19:00;3,33;30,00;16,67;23,33;6,67;16,67;3,33;30
US_TECH100;TOTAL;4,88;15,09;19,05;39,63;8,38;11,74;1,22;656
