Actif;Creneau;LOW %;MED %;HIGH %;EXPLO %;n
CrudeOIL;10:00-10:30;50,00;41,67;8,33;0,00;24
CrudeOIL;10:30-11:00;41,67;50,00;8,33;0,00;24
CrudeOIL;11:00-11:30;50,00;33,33;16,67;0,00;24
CrudeOIL;11:30-12:00;41,67;50,00;8,33;0,00;24
CrudeOIL;12:00-12:30;33,33;54,17;12,50;0,00;24
CrudeOIL;12:30-13:00;25,00;41,67;25,00;8,33;24
CrudeOIL;13:00-13:30;8,33;62,50;29,17;0,00;24
CrudeOIL;13:30-14:00;16,67;58,33;20,83;4,17;24
CrudeOIL;14:00-14:30;8,33;62,50;20,83;8,33;24
CrudeOIL;14:30-15:00;17,39;30,43;47,83;4,35;23
CrudeOIL;15:00-15:30;0,00;8,70;47,83;43,48;23
CrudeOIL;15:30-16:00;39,13;34,78;21,74;4,35;23
CrudeOIL;16:00-16:30;17,39;56,52;21,74;4,35;23
CrudeOIL;16:30-17:00;43,48;47,83;8,70;0,00;23
CrudeOIL;17:00-17:30;45,45;45,45;9,09;0,00;22
CrudeOIL;17:30-18:00;31,58;68,42;0,00;0,00;19
CrudeOIL;18:00-18:30;11,11;33,33;38,89;16,67;18
CrudeOIL;18:30-19:00;58,82;41,18;0,00;0,00;17
CrudeOIL;TOTAL;28,37;45,71;19,39;6,53;490
ETHUSD;08:00-08:30;40,00;53,33;6,67;0,00;15
ETHUSD;08:30-09:00;76,19;23,81;0,00;0,00;21
ETHUSD;09:00-09:30;65,22;34,78;0,00;0,00;23
ETHUSD;09:30-10:00;70,83;29,17;0,00;0,00;24
ETHUSD;10:00-10:30;62,50;33,33;4,17;0,00;24
ETHUSD;10:30-11:00;58,33;41,67;0,00;0,00;24
ETHUSD;11:00-11:30;54,17;41,67;4,17;0,00;24
ETHUSD;11:30-12:00;50,00;41,67;8,33;0,00;24
ETHUSD;12:00-12:30;54,17;37,50;8,33;0,00;24
ETHUSD;12:30-13:00;37,50;45,83;16,67;0,00;24
ETHUSD;13:00-13:30;20,83;58,33;20,83;0,00;24
ETHUSD;13:30-14:00;0,00;50,00;37,50;12,50;24
ETHUSD;14:00-14:30;4,17;33,33;50,00;12,50;24
ETHUSD;14:30-15:00;0,00;60,87;34,78;4,35;23
ETHUSD;15:00-15:30;0,00;69,57;17,39;13,04;23
ETHUSD;15:30-16:00;13,04;65,22;13,04;8,70;23
ETHUSD;16:00-16:30;34,78;47,83;17,39;0,00;23
ETHUSD;16:30-17:00;43,48;43,48;8,70;4,35;23
ETHUSD;17:00-17:30;31,82;59,09;4,55;4,55;22
ETHUSD;17:30-18:00;26,32;52,63;21,05;0,00;19
ETHUSD;18:00-18:30;50,00;38,89;5,56;5,56;18
ETHUSD;18:30-19:00;41,18;47,06;11,76;0,00;17
ETHUSD;TOTAL;37,76;45,71;13,47;3,06;490
EURUSD;08:00-08:30;20,00;46,67;26,67;6,67;15
EURUSD;08:30-09:00;4,76;76,19;19,05;0,00;21
EURUSD;09:00-09:30;8,70;78,26;13,04;0,00;23
EURUSD;09:30-10:00;20,83;58,33;20,83;0,00;24
EURUSD;10:00-10:30;20,83;66,67;12,50;0,00;24
EURUSD;10:30-11:00;16,67;37,50;45,83;0,00;24
EURUSD;11:00-11:30;20,83;62,50;16,67;0,00;24
EURUSD;11:30-12:00;8,33;70,83;20,83;0,00;24
EURUSD;12:00-12:30;16,67;62,50;20,83;0,00;24
EURUSD;12:30-13:00;0,00;45,83;41,67;12,50;24
EURUSD;13:00-13:30;0,00;41,67;41,67;16,67;24
EURUSD;13:30-14:00;8,33;25,00;50,00;16,67;24
EURUSD;14:00-14:30;0,00;20,83;62,50;16,67;24
EURUSD;14:30-15:00;4,35;8,70;43,48;43,48;23
EURUSD;15:00-15:30;4,35;43,48;47,83;4,35;23
EURUSD;15:30-16:00;0,00;47,83;52,17;0,00;23
EURUSD;16:00-16:30;21,74;52,17;26,09;0,00;23
EURUSD;16:30-17:00;17,39;56,52;21,74;4,35;23
EURUSD;17:00-17:30;27,27;54,55;18,18;0,00;22
EURUSD;17:30-18:00;15,79;63,16;21,05;0,00;19
EURUSD;18:00-18:30;22,22;61,11;16,67;0,00;18
EURUSD;18:30-19:00;17,65;58,82;23,53;0,00;17
EURUSD;TOTAL;12,24;51,43;30,61;5,71;490
GASOLINE;08:00-08:30;0,00;0,00;13,33;86,67;15
GASOLINE;08:30-09:00;14,29;33,33;47,62;4,76;21
GASOLINE;09:00-09:30;26,09;30,43;26,09;17,39;23
GASOLINE;09:30-10:00;4,17;50,00;45,83;0,00;24
GASOLINE;10:00-10:30;37,50;45,83;4,17;12,50;24
GASOLINE;10:30-11:00;29,17;45,83;25,00;0,00;24
GASOLINE;11:00-11:30;29,17;50,00;12,50;8,33;24
GASOLINE;11:30-12:00;20,83;50,00;25,00;4,17;24
GASOLINE;12:00-12:30;8,33;54,17;29,17;8,33;24
GASOLINE;12:30-13:00;4,17;29,17;45,83;20,83;24
GASOLINE;13:00-13:30;0,00;33,33;41,67;25,00;24
GASOLINE;13:30-14:00;8,33;41,67;41,67;8,33;24
GASOLINE;14:00-14:30;8,33;45,83;33,33;12,50;24
GASOLINE;14:30-15:00;4,35;26,09;47,83;21,74;23
GASOLINE;15:00-15:30;0,00;4,35;21,74;73,91;23
GASOLINE;15:30-16:00;13,04;39,13;34,78;13,04;23
GASOLINE;16:00-16:30;17,39;39,13;30,43;13,04;23
