Actif;Creneau;VERTICAL_DOWN %;STEEP_DOWN %;MILD_DOWN %;FLAT %;MILD_UP %;STEEP_UP %;VERTICAL_UP %;n
US_500;15:30-16:00;17,39;8,70;8,70;8,70;8,70;30,43;17,39;23
US_500;16:00-16:30;13,04;26,09;4,35;0,00;8,70;30,43;17,39;23
US_500;16:30-17:00;13,04;21,74;8,70;0,00;13,04;26,09;17,39;23
US_500;17:00-17:30;13,64;22,73;0,00;13,64;4,55;22,73;22,73;22
US_500;17:30-18:00;15,79;21,05;5,26;10,53;10,53;15,79;21,05;19
US_500;18:00-18:30;16,67;11,11;11,11;11,11;16,67;11,11;22,22;18
US_500;18:30-19:00;11,76;23,53;11,76;11,76;0,00;17,65;23,53;17
US_500;TOTAL;14,69;14,69;9,80;17,35;11,84;21,02;10,61;490
US_TECH100;08:00-08:30;46,67;13,33;0,00;13,33;0,00;6,67;20,00;15
US_TECH100;08:30-09:00;38,10;14,29;9,52;9,52;9,52;4,76;14,29;21
US_TECH100;09:00-09:30;34,78;13,04;4,35;13,04;13,04;8,70;13,04;23
US_TECH100;09:30-10:00;29,17;25,00;0,00;8,33;16,67;8,33;12,50;24
US_TECH100;10:00-10:30;29,17;25,00;0,00;12,50;0,00;20,83;12,50;24
US_TECH100;10:30-11:00;25,00;20,83;12,50;4,17;8,33;16,67;12,50;24
US_TECH100;11:00-11:30;25,00;25,00;8,33;8,33;0,00;16,67;16,67;24
US_TECH100;11:30-12:00;33,33;16,67;4,17;12,50;0,00;12,50;20,83;24
US_TECH100;12:00-12:30;33,33;20,83;0,00;12,50;0,00;8,33;25,00;24
US_TECH100;12:30-13:00;37,50;8,33;12,50;4,17;0,00;16,67;20,83;24
US_TECH100;13:00-13:30;37,50;20,83;0,00;8,33;4,17;8,33;20,83;24
US_TECH100;13:30-14:00;41,67;0,00;8,33;12,50;4,17;4,17;29,17;24
US_TECH100;14:00-14:30;41,67;8,33;8,33;12,50;0,00;4,17;25,00;24
US_TECH100;14:30-15:00;47,83;8,70;4,35;8,70;4,35;0,00;26,09;23
US_TECH100;15:00-15:30;39,13;13,04;0,00;8,70;4,35;8,70;26,09;23
US_TECH100;15:30-16:00;39,13;13,04;0,00;8,70;4,35;8,70;26,09;23
US_TECH100;16:00-16:30;39,13;8,70;0,00;13,04;4,35;0,00;34,78;23
US_TECH100;16:30-17:00;39,13;8,70;0,00;8,70;8,70;4,35;30,43;23
US_TECH100;17:00-17:30;40,91;4,55;4,55;4,55;4,55;9,09;31,82;22
US_TECH100;17:30-18:00;42,11;10,53;5,26;5,26;10,53;0,00;26,32;19
US_TECH100;18:00-18:30;44,44;5,56;5,56;0,00;11,11;5,56;27,78;18
US_TECH100;18:30-19:00;35,29;5,88;5,88;11,76;11,76;0,00;29,41;17
US_TECH100;TOTAL;36,94;13,47;4,29;9,18;5,31;8,16;22,65;490
