time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 16:00;0.80904;0.80989;0.80843;0.80938;27.05;15.68;24.04;30.51;44.55;-0.638;STRONG_DOWN;-2;-75.4;-3;1
2026.07.14 12:00;0.81155;0.81163;0.80601;0.80905;27.97;18.09;27.74;41.19;62.40;-0.679;STRONG_DOWN;-2;-79.6;-3;1
2026.07.14 08:00;0.81363;0.81378;0.81118;0.81154;29.03;20.88;17.86;61.94;78.96;-0.373;SOFT_DOWN;-1;-77.5;-3;1
2026.07.14 04:00;0.81352;0.81477;0.81325;0.81365;32.30;24.09;8.36;84.08;90.27;-0.114;NEUTRE;0;-70;-3;0
2026.07.14 00:00;0.81458;0.81513;0.81319;0.81352;29.81;27.79;9.64;90.86;91.89;-0.130;NEUTRE;0;;;0
2026.07.13 20:00;0.81443;0.81486;0.81323;0.81460;26.94;29.93;11.13;95.87;86.17;0.646;STRONG_UP;2;72.2;3;0
2026.07.13 16:00;0.81228;0.81459;0.81217;0.81442;24.04;31.98;12.84;88.94;76.65;0.624;STRONG_UP;2;75.1;3;1
2026.07.13 12:00;0.80951;0.81270;0.80924;0.81228;21.16;24.89;14.81;73.69;71.22;0.360;SOFT_UP;1;70.9;3;1
2026.07.13 08:00;0.80863;0.81005;0.80742;0.80950;20.51;16.93;17.09;67.31;74.70;0.016;NEUTRE;0;10.9;0;1
2026.07.13 04:00;0.80976;0.81035;0.80845;0.80861;23.60;19.54;13.69;72.66;82.20;-0.094;NEUTRE;0;-66.2;-3;0
2026.07.13 00:00;0.80937;0.81081;0.80925;0.80977;24.52;22.55;9.32;84.12;84.85;0.049;NEUTRE;0;;;0
2026.07.12 20:00;0.80717;0.81031;0.80675;0.80937;21.91;21.08;10.76;89.82;83.38;0.273;SOFT_UP;1;52.8;2;0
2026.07.10 20:00;0.80856;0.80889;0.80815;0.80842;20.29;18.19;12.41;80.60;74.62;0.237;SOFT_UP;1;48.8;2;0
2026.07.10 16:00;0.80627;0.80881;0.80588;0.80856;20.51;19.33;14.32;79.72;64.31;0.254;SOFT_UP;1;56.8;2;1
2026.07.10 12:00;0.80667;0.80874;0.80598;0.80624;21.38;22.30;16.00;63.53;49.74;-0.033;NEUTRE;0;-14.8;0;1
2026.07.10 08:00;0.80535;0.80711;0.80488;0.80669;22.14;16.64;18.46;49.67;40.80;0.022;NEUTRE;0;14.8;0;1
2026.07.10 04:00;0.80382;0.80560;0.80382;0.80535;24.75;8.79;21.30;36.00;39.36;-0.144;NEUTRE;0;-73.9;-3;0
2026.07.10 00:00;0.80651;0.80680;0.80301;0.80382;22.15;10.14;24.58;36.74;41.31;-0.334;SOFT_DOWN;-1;;;0
2026.07.09 20:00;0.80697;0.80700;0.80549;0.80652;19.16;11.70;18.29;45.33;38.86;-0.192;NEUTRE;0;-42.8;-1;0
2026.07.09 16:00;0.80627;0.80710;0.80577;0.80696;18.73;13.50;18.26;41.85;32.27;-0.137;NEUTRE;0;-39.5;-1;1
2026.07.09 12:00;0.80728;0.80774;0.80604;0.80626;19.31;15.58;17.94;29.41;26.66;-0.224;NEUTRE;0;-60.9;-2;1
2026.07.09 08:00;0.80631;0.80793;0.80581;0.80729;21.19;17.97;20.70;25.54;26.80;-0.097;NEUTRE;0;-49.4;-2;1
2026.07.09 04:00;0.80714;0.80740;0.80522;0.80631;23.37;16.89;23.89;25.02;36.80;-0.218;NEUTRE;0;-79.2;-3;0
2026.07.09 00:00;0.80807;0.80807;0.80683;0.80713;24.32;19.49;16.20;29.84;51.12;-0.116;NEUTRE;0;;;0
2026.07.08 20:00;0.80776;0.80866;0.80719;0.80808;26.65;22.49;14.26;55.53;63.64;-0.110;NEUTRE;0;-27.9;-1;0
2026.07.08 16:00;0.81048;0.81052;0.80716;0.80776;27.30;25.95;16.46;67.97;64.66;-0.150;NEUTRE;0;-42.1;-1;1
2026.07.08 12:00;0.80896;0.81076;0.80798;0.81049;28.06;29.94;15.23;67.41;63.48;0.188;NEUTRE;0;56.5;2;1
2026.07.08 08:00;0.80662;0.80940;0.80641;0.80897;27.36;27.02;17.58;58.59;68.77;0.000;NEUTRE;0;0;0;1
2026.07.08 04:00;0.80836;0.80863;0.80630;0.80661;28.32;27.22;20.28;64.44;79.60;-0.292;SOFT_DOWN;-1;-81.9;-3;0
2026.07.08 00:00;0.80897;0.80962;0.80817;0.80836;30.43;31.40;11.05;83.29;86.00;-0.075;NEUTRE;0;;;0
2026.07.07 20:00;0.80806;0.80904;0.80670;0.80895;27.73;30.08;12.75;91.06;86.40;0.481;STRONG_UP;2;66.7;3;0
2026.07.07 16:00;0.80690;0.80870;0.80653;0.80806;25.77;32.47;14.71;83.66;79.47;0.370;SOFT_UP;1;65.8;3;1
