time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 16:00;7580.25;7598.25;7569.75;7592.00;17.76;19.17;18.50;60.14;44.97;0.513;SOFT_UP;1;66;3;1
2026.07.14 12:00;7555.50;7613.00;7544.75;7579.75;20.22;22.12;21.35;45.44;32.38;0.351;NEUTRE;0;64;2;1
2026.07.14 08:00;7558.50;7565.75;7543.75;7555.50;23.06;14.88;24.63;29.32;22.80;0.030;NEUTRE;0;14.7;0;1
2026.07.14 04:00;7544.00;7575.00;7538.25;7558.50;22.81;17.17;28.42;22.37;20.37;0.070;NEUTRE;0;50.8;2;0
2026.07.14 00:00;7553.25;7560.50;7531.75;7544.00;22.52;13.74;32.79;16.71;23.63;-0.122;NEUTRE;0;;;0
2026.07.13 20:00;7562.75;7563.00;7541.50;7553.00;19.68;15.85;32.62;22.04;30.79;-0.605;SOFT_DOWN;-1;-64.7;-2;0
2026.07.13 16:00;7583.25;7588.75;7551.50;7563.00;17.38;18.29;30.48;32.14;36.68;-0.474;SOFT_DOWN;-1;-64.2;-2;1
2026.07.13 12:00;7594.00;7610.25;7573.50;7583.25;16.21;21.10;26.08;38.18;41.24;-0.207;NEUTRE;0;-50.4;-2;1
2026.07.13 08:00;7588.00;7604.25;7586.75;7594.00;17.08;24.35;24.55;39.70;50.41;-0.066;NEUTRE;0;-30;-1;1
2026.07.13 04:00;7583.00;7591.00;7566.25;7587.75;19.64;16.44;28.33;45.85;64.82;-0.148;NEUTRE;0;-68.9;-3;0
2026.07.13 00:00;7599.00;7615.25;7582.50;7583.00;18.58;18.97;22.58;65.68;80.37;-0.211;NEUTRE;0;;;0
2026.07.12 20:00;7607.00;7611.25;7591.50;7599.00;20.11;21.89;21.83;82.93;86.67;-0.105;NEUTRE;0;-20.2;0;0
2026.07.10 20:00;7620.75;7628.50;7618.00;7625.50;23.18;25.26;13.20;92.51;83.07;0.488;SOFT_UP;1;59.6;2;0
2026.07.10 16:00;7600.25;7626.75;7600.25;7620.75;21.92;26.58;15.23;84.58;76.02;0.425;SOFT_UP;1;61.7;2;1
2026.07.10 12:00;7583.25;7606.50;7552.75;7600.25;21.11;18.92;17.57;72.12;74.47;0.155;NEUTRE;0;42.1;1;1
2026.07.10 08:00;7572.00;7592.00;7568.50;7583.25;23.79;21.83;15.77;71.36;80.17;-0.069;NEUTRE;0;-31.1;-1;1
2026.07.10 04:00;7583.25;7584.00;7569.75;7572.00;24.97;19.95;18.19;79.93;87.35;-0.217;NEUTRE;0;-75.2;-3;0
2026.07.10 00:00;7588.50;7589.50;7575.00;7583.25;28.11;23.02;15.33;89.23;90.50;-0.069;NEUTRE;0;;;0
2026.07.09 20:00;7589.75;7591.75;7583.50;7588.50;29.35;26.56;8.67;92.90;90.89;0.717;SOFT_UP;1;68.3;3;0
2026.07.09 16:00;7573.75;7594.75;7573.75;7590.25;26.05;30.65;10.00;89.38;89.62;0.740;SOFT_UP;1;72.8;3;1
2026.07.09 12:00;7543.25;7577.75;7529.50;7573.75;22.24;22.91;11.54;90.39;86.75;0.521;SOFT_UP;1;71.8;3;1
2026.07.09 08:00;7553.25;7557.75;7526.50;7543.25;20.58;20.05;13.31;89.09;79.53;0.116;NEUTRE;0;45.4;2;1
2026.07.09 04:00;7539.00;7557.25;7535.00;7553.25;20.64;23.14;11.17;80.75;64.40;0.249;NEUTRE;0;77.1;3;0
2026.07.09 00:00;7534.50;7543.00;7524.75;7538.75;18.45;16.85;12.89;68.75;48.96;0.056;NEUTRE;0;;;0
2026.07.08 20:00;7527.25;7529.25;7508.25;7519.00;19.24;10.62;14.88;43.71;33.11;-0.262;NEUTRE;0;-42.5;-1;0
2026.07.08 16:00;7481.00;7536.25;7480.75;7526.50;19.63;12.26;17.17;34.42;28.70;-0.162;NEUTRE;0;-35.3;-1;1
2026.07.08 12:00;7498.25;7524.50;7469.50;7480.75;20.09;10.89;19.81;21.20;25.99;-0.769;SOFT_DOWN;-1;-77.4;-3;1
2026.07.08 08:00;7541.25;7546.75;7468.50;7498.50;18.71;12.56;22.85;30.47;29.50;-0.534;SOFT_DOWN;-1;-77.9;-3;1
2026.07.08 04:00;7554.25;7555.75;7532.00;7541.25;17.11;14.49;13.89;26.29;28.59;0.033;NEUTRE;0;30;1;0
2026.07.08 00:00;7538.75;7563.00;7533.25;7554.25;19.42;16.72;15.21;31.72;31.32;0.206;NEUTRE;0;;;0
2026.07.07 20:00;7553.00;7554.25;7537.75;7538.75;21.68;14.77;17.55;27.76;32.60;-0.613;SOFT_DOWN;-1;-65;-3;0
2026.07.07 16:00;7550.75;7570.75;7536.75;7553.00;23.69;17.04;20.25;34.47;37.14;-0.425;SOFT_DOWN;-1;-61.7;-2;1
2026.07.07 12:00;7578.75;7587.50;7529.50;7550.75;26.01;19.66;23.37;35.57;43.65;-0.455;SOFT_DOWN;-1;-69.3;-3;1
2026.07.07 08:00;7572.00;7584.25;7571.00;7578.75;28.68;22.69;15.96;41.37;55.07;-0.086;NEUTRE;0;-36.9;-1;1
2026.07.07 04:00;7574.00;7579.75;7563.00;7572.00;30.42;20.96;18.41;54.00;69.67;-0.175;NEUTRE;0;-71.9;-3;0
2026.07.07 00:00;7585.25;7594.75;7570.50;7573.75;34.10;24.18;14.35;69.83;78.98;-0.152;NEUTRE;0;;;0
2026.07.06 20:00;7593.25;7600.75;7584.25;7585.50;35.42;27.90;7.84;85.19;80.89;0.208;NEUTRE;0;36;1;0
2026.07.06 16:00;7587.50;7602.00;7575.00;7593.50;32.24;32.19;9.04;81.92;67.08;0.314;NEUTRE;0;53.9;2;1
2026.07.06 12:00;7556.50;7588.75;7552.00;7587.50;28.56;29.59;10.44;75.56;57.98;0.234;NEUTRE;0;53.8;2;1
2026.07.06 08:00;7562.75;7566.50;7556.25;7556.50;25.59;24.83;12.04;43.75;52.21;-0.175;NEUTRE;0;-56.8;-2;1
2026.07.06 04:00;7542.00;7563.25;7539.50;7562.75;24.19;23.77;13.89;54.64;66.26;-0.092;NEUTRE;0;-58.1;-2;0
2026.07.06 00:00;7569.75;7574.00;7538.00;7542.00;23.88;27.43;16.03;58.23;75.99;-0.367;NEUTRE;0;;;0
2026.07.05 20:00;7563.50;7570.50;7551.25;7569.75;23.51;31.65;12.84;85.91;81.67;0.083;NEUTRE;0;16.2;0;0
2026.07.03 16:00;7558.75;7559.00;7553.75;7556.50;20.62;27.33;14.81;83.85;76.31;0.275;NEUTRE;0;50.3;2;1
2026.07.03 12:00;7552.25;7561.50;7549.00;7558.75;19.23;31.54;17.09;75.25;68.10;0.305;NEUTRE;0;60.7;2;1
2026.07.03 08:00;7551.75;7553.75;7545.50;7552.25;17.61;26.85;19.72;69.83;60.27;0.219;NEUTRE;0;62.4;2;1
2026.07.03 04:00;7554.00;7565.00;7550.25;7551.75;17.97;30.98;13.89;59.21;49.08;0.212;NEUTRE;0;74.9;3;0
2026.07.03 00:00;7535.75;7555.25;7527.25;7554.00;14.87;25.58;16.03;51.75;39.69;0.242;NEUTRE;0;;;0
2026.07.02 20:00;7526.50;7537.75;7517.75;7536.00;13.63;19.90;18.50;36.29;31.40;0.020;NEUTRE;0;4;0;0
2026.07.02 16:00;7526.75;7533.75;7479.75;7526.25;15.16;19.88;21.34;31.03;35.14;-0.109;NEUTRE;0;-25.5;-1;1
2026.07.02 12:00;7543.25;7593.75;7520.75;7526.75;16.95;22.94;12.94;26.89;40.43;-0.103;NEUTRE;0;-31;-1;1
2026.07.02 08:00;7530.75;7549.25;7522.25;7543.25;15.27;17.09;14.94;47.50;48.75;0.116;NEUTRE;0;45.4;2;1
2026.07.02 04:00;7554.50;7556.00;7520.00;7531.00;16.59;19.72;17.23;46.92;52.94;-0.046;NEUTRE;0;-38.8;-1;0
2026.07.02 00:00;7534.50;7558.00;7522.75;7554.50;18.11;22.75;18.71;51.83;57.52;0.265;NEUTRE;0;;;0
2026.07.01 20:00;7541.75;7542.50;7525.75;7534.50;19.39;19.49;21.59;60.07;59.40;-0.133;NEUTRE;0;-25;0;0
2026.07.01 16:00;7572.25;7578.75;7536.75;7541.75;21.59;22.49;14.81;60.67;54.15;-0.036;NEUTRE;0;-8.9;0;1
2026.07.01 12:00;7530.75;7578.25;7505.75;7572.25;21.74;25.76;17.08;57.47;52.24;0.368;NEUTRE;0;65;3;1
2026.07.01 08:00;7522.75;7539.75;7519.00;7530.75;21.97;21.56;19.71;44.32;55.52;-0.182;NEUTRE;0;-57.9;-2;1
2026.07.01 04:00;7532.50;7534.75;7510.25;7522.75;24.66;21.17;22.75;54.93;67.52;-0.288;NEUTRE;0;-78.8;-3;0
