time;open;high;low;close;adx14;plus_di;minus_di;stoch_k;stoch_d;intraday_change;intraday_level;intraday_force;theta_deg;theta_level;is_active
2026.07.14 18:00;58.771;58.824;58.447;58.578;15.59;12.04;17.11;30.96;45.97;1.739;SOFT_UP;1;65.3;3;1
2026.07.14 17:00;58.716;58.800;58.561;58.773;15.31;13.90;15.09;45.01;58.54;2.077;SOFT_UP;1;70;3;1
2026.07.14 16:00;58.754;58.865;58.595;58.716;17.03;16.03;15.22;61.94;67.81;1.978;SOFT_UP;1;70.3;3;1
2026.07.14 15:00;59.266;59.647;58.703;58.751;19.25;18.50;11.41;68.66;69.96;2.039;SOFT_UP;1;71.9;3;1
2026.07.14 14:00;59.069;59.384;58.832;59.267;18.57;17.06;13.16;72.82;65.86;2.935;STRONG_UP;2;78;3;1
2026.07.14 13:00;58.981;59.522;58.857;59.070;19.44;19.68;14.49;68.39;55.27;2.593;STRONG_UP;2;77.5;3;1
2026.07.14 12:00;58.041;59.632;57.770;58.982;20.10;22.71;16.72;56.37;45.19;2.440;STRONG_UP;2;77.7;3;1
2026.07.14 11:00;57.819;58.086;57.698;58.040;20.85;13.43;19.29;41.05;43.99;0.804;NEUTRE;0;58.7;2;1
2026.07.14 10:00;58.073;58.086;57.813;57.820;21.30;15.50;17.70;38.13;51.06;0.422;NEUTRE;0;43.6;1;1
2026.07.14 09:00;57.936;58.157;57.918;58.074;23.56;17.88;14.51;52.77;63.83;0.863;NEUTRE;0;65.2;3;1
2026.07.14 08:00;57.943;58.103;57.809;57.936;25.58;17.16;16.74;62.28;75.33;0.624;NEUTRE;0;60.4;2;1
2026.07.14 07:00;58.133;58.214;57.904;57.943;29.33;19.80;14.35;76.43;84.97;0.636;NEUTRE;0;64;2;1
2026.07.14 06:00;58.221;58.263;57.984;58.139;31.38;22.85;12.58;87.28;89.03;0.976;NEUTRE;0;74.7;3;0
2026.07.14 05:00;57.789;58.396;57.773;58.220;31.75;26.36;14.52;91.20;85.31;1.117;SOFT_UP;1;78.8;3;0
2026.07.14 04:00;57.649;57.821;57.493;57.789;32.18;16.22;16.75;88.61;77.16;0.368;NEUTRE;0;64.3;2;0
2026.07.14 03:00;57.555;57.673;57.307;57.648;36.88;11.77;19.33;76.11;68.12;0.123;NEUTRE;0;42.7;1;0
2026.07.14 02:00;57.405;57.744;57.286;57.553;38.82;13.58;22.31;66.77;64.13;-0.042;NEUTRE;0;-25.3;-1;0
2026.07.14 01:00;57.445;57.450;56.836;57.384;41.05;5.79;25.74;61.49;61.21;-0.335;NEUTRE;0;;;0
2026.07.14 00:00;57.577;57.618;56.982;57.445;37.63;6.68;26.04;64.13;58.08;-0.229;NEUTRE;0;;;0
2026.07.13 23:00;57.585;57.595;57.370;57.577;34.32;7.71;20.66;58.02;50.72;-2.258;STRONG_DOWN;-2;-65.7;-3;0
2026.07.13 22:00;57.657;57.700;57.432;57.585;32.58;8.90;19.60;52.10;39.45;-2.244;STRONG_DOWN;-2;-66.5;-3;0
2026.07.13 20:00;57.661;57.749;57.476;57.608;31.81;10.27;20.09;42.04;27.19;-2.205;STRONG_DOWN;-2;-68.1;-3;0
2026.07.13 19:00;57.571;57.676;57.359;57.668;31.73;7.73;23.18;24.20;19.00;-2.103;SOFT_DOWN;-1;-68.2;-3;1
2026.07.13 18:00;57.286;57.677;57.245;57.563;28.93;8.92;26.74;15.34;21.65;-2.282;STRONG_DOWN;-2;-70.7;-3;1
